||||
|Command___________________________________________|Team_Member|Status___|
|appliance-assert-can-be-recovered_________________| _________| _______|
|appliance-create__________________________________| _________| _______|
|appliance-destroy_________________________________| _________| _______|
|appliance-list____________________________________| _________| _______|
|appliance-param-clear_____________________________| _________| _______|
|appliance-param-get_______________________________| _________| _______|
|appliance-param-list______________________________| _________| _______|
|appliance-param-set_______________________________| _________| _______|
|appliance-recover_________________________________| _________| _______|
|appliance-shutdown________________________________| _________| _______|
|appliance-start___________________________________| _________| _______|
|audit-log-get_____________________________________| _________| _______|
|bond-create_______________________________________|Matt _____| _______|
|bond-destroy______________________________________|Matt______| _______|
|bond-list_________________________________________|Matt _____| Review_|
|bond-param-clear__________________________________|Matt______| _______|
|bond-param-get____________________________________|Matt _____|released|
|bond-param-list___________________________________|Matt______|released|
|bond-param-set____________________________________|Matt _____| _______|
|bond-set-mode_____________________________________|Matt______| review_|
|cd-list___________________________________________|Grant_____|released|
|console-list______________________________________|Paul______| _______|
|console-param-add_________________________________|Paul______| _______|
|console-param-clear_______________________________|Paul______| _______|
|console-param-get_________________________________|Paul______| _______|
|console-param-list________________________________|Paul______| _______|
|console-param-remove______________________________|Paul______| _______|
|console-param-set_________________________________|Paul______| _______|
|diagnostic-compact________________________________| _________| _______|
|diagnostic-db-log_________________________________| _________| _______|
|diagnostic-db-stats_______________________________| _________| _______|
|diagnostic-gc-stats_______________________________| _________| _______|
|diagnostic-license-status_________________________| _________| _______|
|diagnostic-net-stats______________________________| _________| _______|
|diagnostic-timing-stats___________________________| _________| _______|
|diagnostic-vdi-status_____________________________| Lisa_____| _______|
|diagnostic-vm-status______________________________| Lisa_____| _______|
|drtask-create_____________________________________| _________| _______|
|drtask-destroy____________________________________| _________| _______|
|drtask-list_______________________________________| _________| _______|
|drtask-param-get__________________________________| _________| _______|
|drtask-param-list_________________________________| _________| _______|
|event-wait________________________________________| _________| _______|
|gpu-group-list____________________________________| Lisa_____| _______|
|gpu-group-param-add_______________________________| Lisa_____| _______|
|gpu-group-param-clear_____________________________| Lisa_____| _______|
|gpu-group-param-get_______________________________| Lisa_____| _______|
|gpu-group-param-list______________________________| Lisa_____| _______|
|gpu-group-param-remove____________________________| Lisa_____| _______|
|gpu-group-param-set_______________________________| Lisa_____| _______|
|gpu-group-create__________________________________|__________|________|
|gpu-group-destroy_________________________________|__________|________|
|gpu-group-get-remaining-capacity__________________|__________|________|
|host-all-editions_________________________________| MIKE_____| _______|
|host-apply-edition________________________________| MIKE_____| _______|
|host-backup_______________________________________| MIKE_____| _______|
|host-bugreport-upload_____________________________| _________| _______|
|host-call-plugin__________________________________| _________| _______|
|host-compute-free-memory__________________________|Matt______|Review__|
|host-compute-memory-overhead______________________| _________| _______|
|host-cpu-info_____________________________________| MIKE/Matt|Review__|
|host-cpu-list_____________________________________| MIKE/Matt|Review__|
|host-cpu-param-get________________________________|Matt______|Review__|
|host-cpu-param-list_______________________________|Matt______|Review__|
|host-crashdump-destroy____________________________| _________| _______|
|host-crashdump-list_______________________________| _________| _______|
|host-crashdump-param-get__________________________| _________| _______|
|host-crashdump-param-list_________________________|Matt______|Review__|
|host-crashdump-upload_____________________________| _________| _______|
|host-data-source-forget___________________________|Matt______|Review__|
|host-data-source-list_____________________________|Matt______|Review__|
|host-data-source-query____________________________|Matt______|Review__|
|host-data-source-record___________________________|Matt______|Review__|
|host-declare-dead_________________________________|__________|________|
|host-disable______________________________________|Matt______|Review__|
